Date,Open,High,Low,Close,Adj Close,Volume
2021-04-12,51.610001,54.520000,48.709999,50.070000,50.070000,27398800
2021-04-13,54.000000,54.040001,49.720001,51.000000,51.000000,33395300
2021-04-14,50.959999,50.980000,42.259998,42.970001,42.970001,43053800
2021-04-15,43.869999,44.980000,38.549999,42.139999,42.139999,35506900
2021-04-16,39.599998,41.189999,37.680000,38.930000,38.930000,23728200
2021-04-19,35.020000,37.090000,33.240002,35.549999,35.549999,28403500
2021-04-20,34.799999,35.770000,30.740000,33.570000,33.570000,26874700
2021-04-21,31.389999,35.680000,31.049999,34.930000,34.930000,22768400
2021-04-22,34.549999,35.730000,30.920000,31.059999,31.059999,22212700
2021-04-23,29.090000,32.709999,28.360001,32.299999,32.299999,21697800
2021-04-26,34.919998,36.320000,33.259998,34.139999,34.139999,20890200
2021-04-27,35.099998,35.400002,33.779999,34.119999,34.119999,12994300
2021-04-28,34.180000,37.919998,33.580002,37.639999,37.639999,20558200
2021-04-29,36.099998,36.639999,33.799999,34.259998,34.259998,15562100
2021-04-30,34.980000,38.549999,34.669998,36.779999,36.779999,22154500
2021-05-03,38.200001,39.680000,35.209999,36.220001,36.220001,17671200
2021-05-04,34.880001,35.240002,32.220001,33.950001,33.950001,14261900
2021-05-05,34.500000,36.230000,32.950001,33.549999,33.549999,15077600
2021-05-06,33.590000,34.110001,30.000000,31.400000,31.400000,13903800
2021-05-07,31.910000,32.790001,30.809999,31.330000,31.330000,11735100
2021-05-10,30.990000,31.150000,27.620001,27.820000,27.820000,17201100
2021-05-11,23.600000,26.410000,23.230000,25.950001,25.950001,23322000
2021-05-12,24.850000,26.309999,22.430000,22.850000,22.850000,20186900
2021-05-13,21.370001,22.600000,18.320000,19.660000,19.660000,33368400
2021-05-14,21.230000,23.990000,20.990000,23.080000,23.080000,24535800
2021-05-17,20.559999,22.510000,20.309999,22.360001,22.360001,19471000
2021-05-18,22.059999,23.870001,21.809999,22.990000,22.990000,16461700
2021-05-19,19.450001,21.780001,19.309999,21.709999,21.709999,33073100
2021-05-20,23.469999,24.270000,20.930000,21.889999,21.889999,22823400
2021-05-21,21.940001,22.799999,20.410000,20.889999,20.889999,20760500
2021-05-24,21.260000,23.290001,21.090000,23.150000,23.150000,22112000
2021-05-25,22.400000,23.290001,21.930000,22.620001,22.620001,13849400
2021-05-26,23.670000,25.930000,23.330000,25.260000,25.260000,23333400
2021-05-27,26.510000,27.110001,24.780001,25.840000,25.840000,20543600
2021-05-28,24.840000,25.709999,24.160000,24.770000,24.770000,12356100
2021-06-01,24.540001,25.650000,24.450001,25.200001,25.200001,11831000
2021-06-02,25.879999,26.299999,24.930000,25.240000,25.240000,12685500
2021-06-03,25.639999,25.719999,23.730000,23.790001,23.790001,9132900
2021-06-04,23.230000,24.750000,23.090000,24.350000,24.350000,8142400
2021-06-07,24.139999,24.620001,23.580000,24.389999,24.389999,7793100
2021-06-08,23.170000,23.889999,21.540001,23.639999,23.639999,13667200
2021-06-09,23.959999,27.240000,23.410000,26.139999,26.139999,17945200
2021-06-10,26.549999,27.450001,25.680000,26.510000,26.510000,12889400
2021-06-11,26.600000,27.049999,25.830000,26.549999,26.549999,7224800
2021-06-14,29.000000,32.060001,28.440001,29.940001,29.940001,20040200
2021-06-15,30.840000,31.629999,28.950001,30.670000,30.670000,14980400
2021-06-16,29.680000,30.440001,28.940001,29.969999,29.969999,10244900
